X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.9518225,1.374448456,McDonald's - Pasir Ris Sports & Recreation Centre,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",120,Pasir Ris Sports & Recreation Centre,519640,Pasir Ris Central,Q,,0,0,,1,F87899225F06E479,2.02E+13,12
103.8925506,1.31867575,McDonald's - Paya Lebar Square,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",60,Paya Lebar Square,409051,Paya Lebar Road,Q,,0,0,,1,7F512A62AFF09256,2.02E+13,"68,69,74,75,76,K3"
103.8425196,1.284133909,McDonald's - People's Park,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,People's Park Complex,59108,Park Road,Q,,0,0,,1,B6BAC500E94DE310,2.02E+13,"69,75"
103.6970201,1.34159108,McDonald's - Pioneer Mall,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",638,Pioneer Mall,640638,Jurong West Street 61,Q,,0,0,,1,462AE25A5B311E92,2.02E+13,"1,2,2020"
103.8450476,1.300747543,McDonald's - Plaza Singapura,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",68,Plaza Singapura,238839,Orchard Road,Q,,0,0,,B1,1E13B07CF8F700C5,2.02E+13,"23,24"
103.8677743,1.332354352,McDonald's - Potong Pasir,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",148,,350148,Potong Pasir Avenue 1,Q,,0,0,,1,48CE6FBCFA779DF8,2.02E+13,43
103.801127,1.273676578,McDonald's - PSA,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",460,PSA Building (Alexandra Retail Centre),119963,Alexandra Road,Q,,0,0,,1,47F3FC744003D0FD,2.02E+13,25
103.9134641,1.393606242,McDonald's - Punggol 21 Community Centre,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",80,Punggol 21 Community Centre,828815,Punggol Field,Q,,0,0,,1,276AC22B7E8D0798,2.02E+13,2
103.9060319,1.410113282,McDonald's - Punggol Safra,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",9,Punggol Safra,828654,Sentul Crescent,Q,,0,0,,3,ABCEC0FDBE0B3B5E,2.02E+13,5
103.8021104,1.304061641,McDonald's - Queensway,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",580,Ridout Tea Garden,149066,Queensway,Q,,0,0,,1,815E46ECAC4767A9,2.02E+13,1
103.8033911,1.287617916,McDonald's - Queensway Shopping Centre,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",1,Queensway Shopping Centre,149053,Queensway,Q,,0,0,,2,0E42A42C3184D928,2.02E+13,46
103.8527683,1.293760279,McDonald's - Raffles City Shopping Centre,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",252,Raffles City Shopping Centre,179103,North Bridge Road,Q,,0,0,,1,F7358B2C53E86CC4,2.02E+13,"49,50,51"
103.8182226,1.283431072,Mcdonald's - REGAL,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",3501,REGAL,159460,Jalan Bukit Merah,Q,,0,0,,1,0D9FF1F55343AF12,2.02E+13,1
103.819459,1.256573486,McDonald's - Resorts World Sentosa,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",26,Resorts World Sentosa,98138,Sentosa Gateway,Q,,0,0,,B1,B5D0BA010F824051,2.02E+13,"211,212,213,214"
103.9044716,1.392197776,McDonald's - Rivervale Mall,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",11,Rivervale Mall,545082,Rivervale Crescent,Q,,0,0,,1,FD87EA006D6CC285,2.02E+13,27
103.8542137,1.329886512,McDonald's - Safra TPY,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",293,Toa Payoh Safra Club House,319387,Toa Payoh Lorong 6,Q,,0,0,,1,CC14D375FAB41F9E,2.02E+13,2
103.7639619,1.380517328,Kopitiam - Bukit Panjang Plaza,Information currently unavailable,1,Bukit Panjang Plaza,677743,Jelebu Road,F,,0,0,,3,E99846929C6A045B,2.02E+13,9
103.9492944,1.34068474,Kopitiam - Changi General Hospital,Information currently unavailable,2,Changi General Hospital,529889,Simei Street 3,F,,0,0,,,88C04B97CD76692B,2.02E+13,89E
103.9481934,1.341318526,Kopitiam - Changi General Hospital (Integrated Building),Information currently unavailable,6A,IB@Changi General Hospital,529905,Simei Street 3,F,,0,0,,,CD2C68F79F2A85B5,2.02E+13,8
103.8794503,1.37566728,Kopitiam - Hougang 1,Information currently unavailable,1,Hougang 1 Shopping Mall,538692,Hougang Street 91,F,,0,0,,1,CC94809A1FD67A3A,2.02E+13,K7
103.7467345,1.334898437,Kopitiam - IMM,Information currently unavailable,2,IMM,609601,Jurong East Street 21,F,,0,0,,3,9FB1C7B3C5B5E758,2.02E+13,24
103.8186256,1.262063364,Kopitiam - Bagus @ Harbourfront Centre,Information currently unavailable,,Harbourfront Centre,99253,1 Maritime Square,F,,0,0,,1,80335D784459A6DA,2.02E+13,30
103.7627412,1.378349713,Kopitiam - Hillion Mall,Information currently unavailable,,Hillion Mall,678278,17 Petir Road,F,,0,0,,2,B978567B0F179463,2.02E+13,8
103.8940672,1.318856103,Kopitiam - Singapore Post,Information currently unavailable,,Singapore Post Centre,408600,10 Eunos Road 8,F,,0,0,,3,3AF4830B6E0EA8DE,2.02E+13,69
103.9623893,1.334325156,Kopitiam - Changi City Point,Information currently unavailable,,Changi City Point,486038,5 Changi Business Park Central 1,F,,0,0,,2,F775E2BC33BBF275,2.02E+13,48
103.7421539,1.333295062,Kopitiam - Jurong East MRT,Information currently unavailable,10,Jurong East MRT,609690,Jurong East Street 12,F,,0,0,,1,E2013552266A1396,2.02E+13,6
103.8412365,1.417999256,Kopitiam - Wisteria Mall,Information currently unavailable,59B,Wisteria Mall,768698,Yishun Ring Road,F,,0,0,,B1,6B840B188433C249,2.02E+13,233
103.8914669,1.40212842,Kopitiam - Sumang,Information currently unavailable,231,,822231,Sumang lane,F,,0,0,,,435F856789CA7904,2.02E+13,109
103.7856887,1.436007845,BAGUS @ Causeway Point,Information currently unavailable,1,Causeway Point,738099,Woodlands Square,F,,0,0,,7,997DF23D97F87826,2.02E+13,K8
103.8434707,1.27458821,Koufu - 100AM,Information currently unavailable,100,100AM Shopping Mall,79027,Tras Street,F,,0,0,,4,38E1324BDE9B4AAA,2.02E+13,14
103.856412,1.377892032,Koufu - AMK ITE,Information currently unavailable,2,ITE College Central,567720,Ang Mo Kio Drive,F,,0,0,,1,5D1864A637FCCA28,2.02E+13,K13
103.80501,1.288614687,Koufu - Anchorpoint,Information currently unavailable,370,Anchorpoint,159953,Alexandra Road,F,,0,0,,B1,1601C32BD265ED6C,2.02E+13,287
103.8373281,1.301403315,Koufu - Cathay Cineleisure Orchard,Information currently unavailable,8,Cathay Cineleisure,239693,Grange Road,F,,0,0,,B1,030F7F5A0C33A38F,2.02E+13,22
103.6997823,1.349425454,Koufu - Gek Poh Shopping Centre,Information currently unavailable,762,Gek Poh Shopping Mall,640760,Jurong West Street 75,F,,0,0,,1,17A642FE402A18C9,2.02E+13,7
103.7431704,1.33320021,Koufu - JEM,Information currently unavailable,50,JEM Shopping Mall,608549,Jurong Gateway Road,F,,0,0,,5,F0F20CDE58470C4B,2.02E+13,2
103.7715625,1.332762597,KouFu - Nee Ann Polytechnic,Information currently unavailable,51,,599489,535 Clementi Road,F,,0,0,,2,060A8ECEA8CDAFC0,2.02E+13,825
103.6788181,1.346764651,Koufu - NTU,Information currently unavailable,50,South Spine Food Court,639798,Nanyang Avenue,F,,0,0,,,1D21F94EADC5F678,2.02E+13,21
103.7734922,1.303995508,Koufu - NUS Utown,Information currently unavailable,1,University Town,138602,Create Way,F,,0,0,,1,FBAAABA936D7283C,2.02E+13,12
103.7829712,1.446237734,Koufu - Republic Polytechnic,Information currently unavailable,9,South Food Court,738964,Woodlands Avenue 9,F,,0,0,,1,98EE6C32793844C6,2.02E+13,3
103.901558,1.38493202,Koufu - Rivervale Plaza,Information currently unavailable,118,Rivervale Plaza,540118,Rivervale Drive,F,,0,0,,2,95D6C598BC74476B,2.02E+13,61
103.8195433,1.453845183,Koufu - Sembawang Mart,Information currently unavailable,511,Sembawang Mart,750511,Canberra Road,F,,0,0,,1,C1456F97EAB9B8E3,2.02E+13,1
103.7882145,1.306848818,Koufu - The Kitchen - The Star Vista,Information currently unavailable,1,The Star Vista,138617,Vista Exchange Green,F,,0,0,,2,ECF254E1D6899E75,2.02E+13,1
103.8309198,1.354669019,Koufu - Thomson Plaza,Information currently unavailable,301,Thomson Plaza,574408,Upper Thomson Road,F,,0,0,,1,017D965EDA3DD502,2.02E+13,
103.8470504,1.332965491,Koufu - Toa Payoh Centre,Information currently unavailable,500,,310500,Toa Payoh Lorong 6,F,,0,0,,2,E8A7909215560A13,2.02E+13,59
103.798141,1.445622899,Koufu - Woodland Mart - Fork & Spoon,Information currently unavailable,768,Woodlands Mart,730768,Woodlands Avenue 6,F,,0,0,,1,950F57EF24D72000,2.02E+13,22
103.798141,1.445622899,Koufu - Woodland Mart,Information currently unavailable,768,Woodlands Mart,730768,Woodlands Avenue 6,F,,0,0,,1,950F57EF694E782F,2.02E+13,K2
103.7465581,1.397301904,Koufu - Yew Tee Point,Information currently unavailable,21,Yew Tee Point,689578,Choa Chu Kang North,F,,0,0,,B1,20BC002465FE2A8D,2.02E+13,24
103.8438921,1.320429661,Koufu - Square 2,Information currently unavailable,,Square 2,307506,10 Sinaran Drive,F,,0,0,,4,33A0A295CAE9AECB,2.02E+13,27
103.8554112,1.299113161,LeNu - Bugis Junction,"LeNu Singapore offers several healthy options such as their signature Braised Beef Noodle Soup with a choice of wheat noodles, brown rice noodles or vermicelli. They also have vegetable-based dishes like the Stir Fried Mushrooms with XO Sauce and Sautéed Chinese Spinach with Garlic.",200,Bugis Juction,188021,Victoria Street,R,,0,0,,B1,3D7EAAAA11571B1A,2.02E+13,
103.89498,1.39209415,LeNu - Compass One,"LeNu Singapore offers several healthy options such as their signature Braised Beef Noodle Soup with a choice of wheat noodles, brown rice noodles or vermicelli. They also have vegetable-based dishes like the Stir Fried Mushrooms with XO Sauce and Sautéed Chinese Spinach with Garlic.",1,Compass One,545078,Sengkang Square,R,,0,0,,3,3291922B7F5D4EB3,2.02E+13,
103.8215893,1.263895802,LeNu - Vivo City,"LeNu Singapore offers several healthy options such as their signature Braised Beef Noodle Soup with a choice of wheat noodles, brown rice noodles or vermicelli. They also have vegetable-based dishes like the Stir Fried Mushrooms with XO Sauce and Sautéed Chinese Spinach with Garlic.",1,Vivo City,98585,Harbourfront Walk,R,,0,0,,2,5751731746C3E28A,2.02E+13,
103.8014895,1.440415298,McDonald's - Admiralty,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",678A,,731678,Woodlands Avenue 6,Q,,0,0,,1,2638E14C4A20342D,2.02E+13,174
103.8273459,1.319436168,McDonald's - Alocassia,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",383,Alocassia Building,259727,Bukit Timah Road,Q,,0,0,,1,8B47B454FB5BFEE4,2.02E+13,K5
103.8471539,1.369315175,McDonald's - Ang Mo Kio,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",51,Big Mac Centre,569922,Ang Mo Kio Avenue 3,Q,,0,0,,1,082116F2EED4B6D9,2.02E+13,10
103.838169,1.373551784,McDonald's - Ang Mo Kio 4,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",163,,560163,Ang Mo Kio Avenue 4,Q,,0,0,,1,39FC64BE34828DFA,2.02E+13,195
103.8563966,1.367441901,McDonald's - Ang Mo Kio Ave 10,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",448,,560448,Ang Mo Kio Avenue 10,Q,,0,0,,1,C102332104CF2EC4,2.02E+13,151
103.84474,1.372474433,McDonald's - Ang Mo Kio Park,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",10,,567740,Ang Mo Kio Street 12,Q,,0,0,,,157C007B8A6BB09F,2.02E+13,347
103.8510556,1.325126527,McDonald's - Balestier Shaw Plaza,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",360,Shaw Plaza (Balestier),329783,Balestier Road,Q,,0,0,,1,5F4EF805906D6F91,2.02E+13,31
103.7762505,1.34239284,McDonald's - Beauty World,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",144,Beauty World Centre,588177,Upper Bukit Timah,Q,,0,0,,1,2B07996694C7D634,2.02E+13,1
103.9292677,1.324772068,McDonald's - Bedok Mall,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",311,Bedok Mall,467360,New Upper Changi Road,Q,,0,0,,1,7C89C176B0745BC0,2.02E+13,"11,12"
103.9253073,1.331313862,McDonald's - Bedok North,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",539,Bedok North Shopping Mall,460539,Bedok North Street 3,Q,,0,0,,1,BD3B2C46A9D00894,2.02E+13,11
103.9216633,1.337860418,McDonald's - Bedok Reservior,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",744,,470744,Bedok Reservoir,Q,,0,0,,1,B4790DA4B2F3C505,2.02E+13,22
103.9141451,1.332050943,McDonald's - Bedok Reservoir,"Some healthy options at McDonald's Singapore include the Grilled Chicken Burger, Filet-O-Fish, and Salad. They also offer sides like Corn Cup and Apple Slices as alternatives to French Fries.",632,,470632,Bedok Reservoir Road,Q,,0,0,,1,4152F033FD1CEE02,2.02E+13,2
103.8378537,1.423877598,NTUC Foodfare - KTPH,Information currently unavailable,90,Khoo Teck Puat Hospital (KTPH),768828,Yishun Central,F,,0,0,,1,37030E9400EA4135,2.02E+13,12
103.8542974,1.279105668,NTUC Foodfare - MBFC,Information currently unavailable,12,Marina Bay Financial Centre (MBFC),18982,Marina Boulevard,F,,0,0,,1,6A67D8EF3B51E877,2.02E+13,"1,4,2020"
103.7990648,1.274827483,NTUC Foodfare - Mapletree Business City (Kitchen Loft),Information currently unavailable,20,Mapletree Business City,117439,Pasir Panjang Road,F,,0,0,,2,44EE4EE928E7E902,2.02E+13,21
103.7437958,1.384548392,NTUC Foodfare - Choa Chu Kang,Information currently unavailable,303,,680303,Choa Chu Kang Ave 4,F,,0,0,,1,0728C96711563C1D,2.02E+13,723
103.8760677,1.391393058,NTUC Foodfare - The Seletar Mall,Information currently unavailable,33,The Seletar Mall,797653,Sengkang West Avenue,F,,0,0,,3,3BD72E3B341F6FF5,2.02E+13,37
103.8200461,1.449050816,NTUC Foodfare - Sembawang MRT,Information currently unavailable,11,Sembawang MRT Station,759775,Canberra Road,F,,0,0,,1,324B7A464FF5CB47,2.02E+13,5
103.7401767,1.333268187,Kopitiam - Jcube,Information currently unavailable,2,Jcube,609731,Jurong East Central 1,F,,0,0,,B1,3E708F2C140AC5F4,2.02E+13,10
103.7053082,1.339364021,FEAST - Jurong Point,Information currently unavailable,63,Jurong Point,648331,Jurong West Central 2,F,,0,0,,3,D1F5E5BC69C59453,2.02E+13,15
103.7064609,1.339830153,Cantine @ Jurong Point,Information currently unavailable,1,Jurong Point,648886,Jurong West Central 2,F,,0,0,,B1,FCA5451CB73929EE,2.02E+13,14
103.8466501,1.310448527,Kopitiam - KKH,Information currently unavailable,100,KK Women's and Children's Hospital (KKH),229899,Bukit Timah Road,F,,0,0,,1,08C7F03475EFE056,2.02E+13,"49,50"
103.7438655,1.335533819,Kopitiam - Ng Teng Fong Hospital,Information currently unavailable,2,Ng Teng Fong General Hospital Tower B,609606,Jurong East Street 21,F,,0,0,,2,AF1B1F4050480D0C,2.02E+13,50
103.8436568,1.320211,Kopitiam - Novena Square,Information currently unavailable,238,Novena Square,307683,Thomson Road,F,,0,0,,3,27A6FB1DF0DE1732,2.02E+13,17
103.7827095,1.293953054,Kopitiam - NUH,Information currently unavailable,5,"National University Hospital (NUH), Main Building Lobby",119074,Lower Kent Ridge Road,F,,0,0,,1,A27A32B73AB6F808,2.02E+13,53
103.8450476,1.300747543,Kopitiam - Plaza Singapura,Information currently unavailable,68,Plaza Singapura,238839,68 Orchard road,F,,0,0,,6,1E13B07C2A46A26B,2.02E+13,104
103.8348706,1.281783403,Kopitiam - SGH Housemen's Canteen,Information currently unavailable,10,Housemen's Canteen,169851,College Road,F,,0,0,,1,23053C9C129BDE7C,2.02E+13,40
